requirement_id,regime,topic,topic_canonical,requirement_type,authority_level,requirement,covered_actors,data_categories,data_categories_canonical,legal_bases,consent_required,regions,exceptions,effective_from,effective_to,policy_version,source_ids
REQ-BR-LGPD-001,Brazil-LGPD,scope,applicability,scope,statute,"The LGPD applies to processing of personal data by public or private natural or legal persons in the circumstances established by Article 3, subject to statutory exclusions.",controller;processor,personal_data,personal_data,,,Brazil,statutory_exclusions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-002,Brazil-LGPD,lawful_basis,lawful_basis,condition,statute,Processing of personal data must rely on one of the legal hypotheses established by Article 7.,controller,personal_data,personal_data,consent;legal_or_regulatory_obligation;public_administration;research;contract;exercise_of_rights;life_protection;physical_safety;health;legitimate_interest;credit_protection,,Brazil,,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-003,Brazil-LGPD,sensitive_data,sensitive_data,condition,statute,Sensitive personal data processing is subject to the specific legal hypotheses in Article 11.,controller,sensitive_personal_data,sensitive_data,consent;legal_or_regulatory_obligation;public_administration;research;exercise_of_rights;life_protection;physical_safety;health;fraud_prevention;security,,Brazil,,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-004,Brazil-LGPD,children_and_adolescents,children,condition,statute,"Processing of personal data of children and adolescents must be carried out in their best interests, with specific highlighted consent requirements for children subject to statutory exceptions.",controller,child_personal_data;adolescent_personal_data,child_data,consent,yes,Brazil,statutory_child_processing_exceptions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-005,Brazil-LGPD,data_subject_rights,rights,right,statute,"Data subjects have statutory rights including confirmation, access, correction, deletion, portability, information and review-related rights, subject to applicable conditions.",controller,personal_data,personal_data,,,Brazil,statutory_exceptions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-006,Brazil-LGPD,international_transfer,international_transfer,obligation,statute,International transfers require an LGPD-authorised transfer basis and applicable transfer mechanism under Articles 33–36 and ANPD regulation.,controller;processor,personal_data,personal_data,,,Brazil,adequacy;standard_contractual_clauses;specific_contractual_clauses;global_corporate_rules;other_article_33_mechanisms,2020-09-18,,LGPD-13-709-2018-with-ANPD-Resolution-19-2024,SRC-BR-LGPD;SRC-BR-ANPD-TRANSFERS-19-2024;SRC-BR-ANPD-ADEQUACY-32-2026
REQ-BR-LGPD-007,Brazil-LGPD,security,security,obligation,statute,"Controllers and processors must adopt security, technical and administrative measures capable of protecting personal data against unauthorised access and accidental or unlawful situations.",controller;processor,personal_data,personal_data,,,Brazil,,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD;SRC-BR-ANPD-INCIDENT-15-2024
REQ-BR-LGPD-008,Brazil-LGPD,enforcement,enforcement,enforcement,statute,"The ANPD has regulatory and enforcement powers, including application of administrative sanctions under the LGPD and applicable ANPD regulations.",controller;processor,personal_data,personal_data,,,Brazil,,2021-08-01,,LGPD-with-ANPD-sanctions-framework,SRC-BR-LGPD;SRC-BR-ANPD-SANCTIONS-4-2023;SRC-BR-ANPD-DPO-18-2024
REQ-BR-LGPD-009,Brazil-LGPD,retention,retention,obligation,statute,Processing must end in statutory circumstances and deletion rules apply,controller,personal_data,personal_data,,no,Brazil,Legal retention exceptions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
REQ-BR-LGPD-010,Brazil-LGPD,security,security,obligation,statute,Controllers and processors must adopt technical and administrative security measures,controller;processor,personal_data,personal_data,,no,Brazil,Article 46 conditions,2020-09-18,,LGPD-13-709-2018,SRC-BR-LGPD
